City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hilo,90,US,1633023610,94,19.7297,-155.09,73.8,6.91
Bredasdorp,64,ZA,1633023856,77,-34.5322,20.0403,60.12,12.66
Hamilton,75,US,1633023820,48,39.1834,-84.5333,79.23,1.01
Caravelas,25,BR,1633023789,60,-17.7125,-39.2481,82.02,10.98
Ostrovnoy,75,RU,1633023891,87,68.0531,39.5131,43.07,3.06
Beringovskiy,100,RU,1633023892,87,63.05,179.3167,33.75,22.86
New Norfolk,100,AU,1633023892,72,-42.7826,147.0587,53.74,1.01
Busselton,29,AU,1633023616,88,-33.65,115.3333,60.04,15.1
Teknāf,15,BD,1633023893,88,20.8624,92.3058,78.89,4.88
Iskateley,100,RU,1633023893,78,67.6803,53.1512,34.84,5.66
Carnarvon,34,AU,1633023893,88,-24.8667,113.6333,69.87,6.91
Hermanus,21,ZA,1633023894,89,-34.4187,19.2345,64.9,13.89
Vaini,90,TO,1633023894,94,-21.2,-175.2,68.16,4.61
Albany,59,US,1633023762,66,42.6001,-73.9662,59.74,7.65
Mataura,100,NZ,1633023895,89,-46.1927,168.8643,47.48,4.23
Butaritari,99,KI,1633023895,74,3.0707,172.7902,81.73,12.08
Casper,1,US,1633023895,69,42.8666,-106.3131,51.73,3.0
Agadez,78,NE,1633023896,10,19.75,10.25,87.75,8.05
Barrow,90,US,1633023759,74,71.2906,-156.7887,28.42,8.05
Bom Jardim,60,BR,1633023896,44,-7.7958,-35.5872,89.94,14.7
Urubichá,19,BO,1633023897,23,-15.3833,-62.95,102.83,7.18
Quesnel,1,CA,1633023897,54,52.9999,-122.5029,57.7,12.66
Arraial do Cabo,20,BR,1633023668,78,-22.9661,-42.0278,76.96,16.11
Clyde River,100,CA,1633023898,68,70.4692,-68.5914,36.73,6.64
Airai,36,TL,1633023736,69,-8.9266,125.4092,58.75,2.42
Coffs Harbour,100,AU,1633023898,92,-30.3,153.1333,65.14,5.75
Chern',15,RU,1633023899,78,53.4523,36.9145,43.05,5.61
Kaitangata,93,NZ,1633023899,66,-46.2817,169.8464,50.94,11.79
Monroe,75,US,1633023890,72,43.1501,-77.6831,61.05,8.05
Mahébourg,40,MU,1633023672,78,-20.4081,57.7,72.25,13.8
Ushuaia,40,AR,1633023900,49,-54.8,-68.3,46.02,10.36
Strezhevoy,87,RU,1633023901,74,60.7333,77.5889,35.58,6.33
Tamandaré,44,BR,1633023901,78,-8.7597,-35.1047,78.89,8.95
Rikitea,46,PF,1633023856,68,-23.1203,-134.9692,72.68,21.52
Sioux Lookout,75,CA,1633023902,60,50.1001,-91.917,73.47,5.75
Ancud,66,CL,1633023904,51,-41.8697,-73.8203,51.33,10.2
Hong Kong,1,HK,1633023864,86,22.2855,114.1577,86.38,1.01
